,Unnamed: 0.1,Unnamed: 0,chunk,질의응답,vector,vector2
11,11,,"제13조(사업연도) 진흥재단의 사업연도는 정부의 회계연도에 따른다. (

제14조(회계규정 등) 진흥재단은 그 조직과 예산 등에 관한 규정을 정하여 이사회 의결을 거쳐 과학기술정보통신부장관의 승인을 받아야 한다. 이를 변경하고자 하는 경우에도 또한 같다. 
  (

제15조(잉여금 처리) 매사업연도의 잉여금은 이월손실을 보전하고도 잔여가 있을 때에는 기본재산에 전입하거나 다음 사업연도로 이월하여 진흥재단의 목적사업에 사용하여야 한다. (","1) 진흥재단의 사업연도는 어떻게 결정되는가?

",,
,,,"제13조(사업연도) 진흥재단의 사업연도는 정부의 회계연도에 따른다. (

제14조(회계규정 등) 진흥재단은 그 조직과 예산 등에 관한 규정을 정하여 이사회 의결을 거쳐 과학기술정보통신부장관의 승인을 받아야 한다. 이를 변경하고자 하는 경우에도 또한 같다. 
  (

제15조(잉여금 처리) 매사업연도의 잉여금은 이월손실을 보전하고도 잔여가 있을 때에는 기본재산에 전입하거나 다음 사업연도로 이월하여 진흥재단의 목적사업에 사용하여야 한다. (",2) 진흥재단의 조직과 예산 등에 관한 규정 변경은 어떤 절차를 거쳐야 하는가?,,
,,,"제13조(사업연도) 진흥재단의 사업연도는 정부의 회계연도에 따른다. (

제14조(회계규정 등) 진흥재단은 그 조직과 예산 등에 관한 규정을 정하여 이사회 의결을 거쳐 과학기술정보통신부장관의 승인을 받아야 한다. 이를 변경하고자 하는 경우에도 또한 같다. 
  (

제15조(잉여금 처리) 매사업연도의 잉여금은 이월손실을 보전하고도 잔여가 있을 때에는 기본재산에 전입하거나 다음 사업연도로 이월하여 진흥재단의 목적사업에 사용하여야 한다. (",3) 매사업연도의 잉여금은 어떻게 처리되어야 하는가?,,
12,12,,"제3장  임  원

제16조(임원) ① 진흥재단에 임원으로 이사장 1인을 포함한 15인 이내의 이사와 감사 1인을 둔다. (
  ② 이사장을 제외한 모든 임원은 비상임으로 한다. (
  ③ 이사장은 진흥재단 이외의 다른 영리를 목적으로 하는 업무에 종사할 수 없다. ( (
  ④ 이사장은 재직기간 동안 진흥재단의 연구과제 수행에 참여할 수 없다. 
  ( (

제17조(이사) ① 이사는 이사회에서 선임하여 과학기술정보통신부장관의 승인을 얻어야 한다. 다만, 다음 각 호의 자는 이사회에서 선임되어 과학기술정보통신부장관의 승인을 받은 이사(이하 “당연직 이사”라 한다)로 본다. (
   1. 과학기술정보통신부 과학기술일자리혁신관 (
   3. 기획재정부 경제예산심의관 (
   7. ( ( 
  ② 당연직 이사가 아닌 이사는 학계․연구계 및 산업계 등에서 선임한다.
  ③ 이사는 이사회에 부쳐진 안건을 심의하고, 의결에 참여한다. (

제17조의2(선임비상임이사) ① 비상임이사 중「공공기관의 운영에 관한 법률 시행령」제19조제1항이 정하는 자격을 갖춘 1인을 선임비상임이사로 호선한다.
  ② 선임비상임이사는 이사회 안건 그 밖에 기관 운영에 관한 사항을 논의하기 위하여 비상임이사회의를 소집할 수 있다.
  ③ 이사장은 선임비상임이사가 제2항에 따른 업무를 수행할 수 있도록 필요한 지원을 하여야 한다. 
  [본조신설 2018.05.02]","1. 진흥재단의 임원 구성은 어떻게 되어 있나요?

",,
,,,"제3장  임  원

제16조(임원) ① 진흥재단에 임원으로 이사장 1인을 포함한 15인 이내의 이사와 감사 1인을 둔다. (
  ② 이사장을 제외한 모든 임원은 비상임으로 한다. (
  ③ 이사장은 진흥재단 이외의 다른 영리를 목적으로 하는 업무에 종사할 수 없다. ( (
  ④ 이사장은 재직기간 동안 진흥재단의 연구과제 수행에 참여할 수 없다. 
  ( (

제17조(이사) ① 이사는 이사회에서 선임하여 과학기술정보통신부장관의 승인을 얻어야 한다. 다만, 다음 각 호의 자는 이사회에서 선임되어 과학기술정보통신부장관의 승인을 받은 이사(이하 “당연직 이사”라 한다)로 본다. (
   1. 과학기술정보통신부 과학기술일자리혁신관 (
   3. 기획재정부 경제예산심의관 (
   7. ( ( 
  ② 당연직 이사가 아닌 이사는 학계․연구계 및 산업계 등에서 선임한다.
  ③ 이사는 이사회에 부쳐진 안건을 심의하고, 의결에 참여한다. (

제17조의2(선임비상임이사) ① 비상임이사 중「공공기관의 운영에 관한 법률 시행령」제19조제1항이 정하는 자격을 갖춘 1인을 선임비상임이사로 호선한다.
  ② 선임비상임이사는 이사회 안건 그 밖에 기관 운영에 관한 사항을 논의하기 위하여 비상임이사회의를 소집할 수 있다.
  ③ 이사장은 선임비상임이사가 제2항에 따른 업무를 수행할 수 있도록 필요한 지원을 하여야 한다. 
  [본조신설 2018.05.02]",2. 이사장의 업무에 대한 제한 사항은 무엇인가요?,,
,,,"제3장  임  원

제16조(임원) ① 진흥재단에 임원으로 이사장 1인을 포함한 15인 이내의 이사와 감사 1인을 둔다. (
  ② 이사장을 제외한 모든 임원은 비상임으로 한다. (
  ③ 이사장은 진흥재단 이외의 다른 영리를 목적으로 하는 업무에 종사할 수 없다. ( (
  ④ 이사장은 재직기간 동안 진흥재단의 연구과제 수행에 참여할 수 없다. 
  ( (

제17조(이사) ① 이사는 이사회에서 선임하여 과학기술정보통신부장관의 승인을 얻어야 한다. 다만, 다음 각 호의 자는 이사회에서 선임되어 과학기술정보통신부장관의 승인을 받은 이사(이하 “당연직 이사”라 한다)로 본다. (
   1. 과학기술정보통신부 과학기술일자리혁신관 (
   3. 기획재정부 경제예산심의관 (
   7. ( ( 
  ② 당연직 이사가 아닌 이사는 학계․연구계 및 산업계 등에서 선임한다.
  ③ 이사는 이사회에 부쳐진 안건을 심의하고, 의결에 참여한다. (

제17조의2(선임비상임이사) ① 비상임이사 중「공공기관의 운영에 관한 법률 시행령」제19조제1항이 정하는 자격을 갖춘 1인을 선임비상임이사로 호선한다.
  ② 선임비상임이사는 이사회 안건 그 밖에 기관 운영에 관한 사항을 논의하기 위하여 비상임이사회의를 소집할 수 있다.
  ③ 이사장은 선임비상임이사가 제2항에 따른 업무를 수행할 수 있도록 필요한 지원을 하여야 한다. 
  [본조신설 2018.05.02]",3. 선임비상임이사의 역할과 권한에 대해 설명해주세요.,,
13,13,,"제18조(이사장 및 이사의 임기) ① 이사장 및 이사의 임기는 3년으로 하며, 연임할 수 있다. (
  ② 제1항에 의한 이사 중 임기만료 이외의 사유로 결원이 있을 때에는 2월 이내에 이사회를 개최하여 그 후임자를 선임한다.
  ③ 당연직 이사의 임기는 당해 직에 재직하는 기간으로 한다. ( 
  ④ 임기가 만료된 임원은 후임자가 임명될 때까지 직무를 수행한다. ( (
  ⑤ 제4항에 의해 직무를 수행하는 임원의 임기는 후임자가 임명될 때까지 연장된 것으로 본다. (

제19조(이사장) ① 이사장은 진흥재단을 대표하며, 진흥재단의 업무를 총괄한다. (
  ② 이사장은 임원추천위원회의 추천을 받아 이사회의 의결을 거쳐 과학기술정보통신부장관이 임면한다. (
  ③ 이사장이 결원일 때에는 이사회는 지체 없이 그 후임자를 선임하여야 하며, 일반사무는 직제규정에서 정하는 순서로 그 직무를 대행한다. 다만 이사회에 관한 업무는 이사회운영규정에서 정하는 바에 따른다. (","1. 이사장 및 이사의 임기는 얼마나 되나요?

",,
,,,"제18조(이사장 및 이사의 임기) ① 이사장 및 이사의 임기는 3년으로 하며, 연임할 수 있다. (
  ② 제1항에 의한 이사 중 임기만료 이외의 사유로 결원이 있을 때에는 2월 이내에 이사회를 개최하여 그 후임자를 선임한다.
  ③ 당연직 이사의 임기는 당해 직에 재직하는 기간으로 한다. ( 
  ④ 임기가 만료된 임원은 후임자가 임명될 때까지 직무를 수행한다. ( (
  ⑤ 제4항에 의해 직무를 수행하는 임원의 임기는 후임자가 임명될 때까지 연장된 것으로 본다. (

제19조(이사장) ① 이사장은 진흥재단을 대표하며, 진흥재단의 업무를 총괄한다. (
  ② 이사장은 임원추천위원회의 추천을 받아 이사회의 의결을 거쳐 과학기술정보통신부장관이 임면한다. (
  ③ 이사장이 결원일 때에는 이사회는 지체 없이 그 후임자를 선임하여야 하며, 일반사무는 직제규정에서 정하는 순서로 그 직무를 대행한다. 다만 이사회에 관한 업무는 이사회운영규정에서 정하는 바에 따른다. (",2. 이사장은 어떻게 선임되나요?,,
,,,"제18조(이사장 및 이사의 임기) ① 이사장 및 이사의 임기는 3년으로 하며, 연임할 수 있다. (
  ② 제1항에 의한 이사 중 임기만료 이외의 사유로 결원이 있을 때에는 2월 이내에 이사회를 개최하여 그 후임자를 선임한다.
  ③ 당연직 이사의 임기는 당해 직에 재직하는 기간으로 한다. ( 
  ④ 임기가 만료된 임원은 후임자가 임명될 때까지 직무를 수행한다. ( (
  ⑤ 제4항에 의해 직무를 수행하는 임원의 임기는 후임자가 임명될 때까지 연장된 것으로 본다. (

제19조(이사장) ① 이사장은 진흥재단을 대표하며, 진흥재단의 업무를 총괄한다. (
  ② 이사장은 임원추천위원회의 추천을 받아 이사회의 의결을 거쳐 과학기술정보통신부장관이 임면한다. (
  ③ 이사장이 결원일 때에는 이사회는 지체 없이 그 후임자를 선임하여야 하며, 일반사무는 직제규정에서 정하는 순서로 그 직무를 대행한다. 다만 이사회에 관한 업무는 이사회운영규정에서 정하는 바에 따른다. (",3. 임기가 만료된 임원의 직무 수행과 관련된 규정은 무엇인가요?,,
14,14,,"제20조(임원추천위원회 구성 및 운영) ① 임원(이사장 및 감사)후보자를 추천하기 위하여 임원추천위원회를 구성한다. (② 임원추천위원회 위원 정수는 5명에서 15명 이내의 범위에서 이사회 의결로 정한다. 다만, 위원회 구성 당시 비상임이사가 2명 이하인 경우에는 위원 정수를 2명 또는 3명으로 할 수 있다. (
   1. ( 
   2. 
   3. ( 
  ③ 이사회가 선임하는 위원의 정수는 임원추천위원회 위원 정수의 2분의 1 미만과 3분의 1 이상으로 한다. 다만, 임원추천위원회 구성 당시 비상임이사가 1명인 경우에는 이사회가 선임하는 위원의 정수를 2분의 1로 할 수 있다. (
  ④ 임원추천위원회는 임원후보자를 복수로 이사회에 추천한다. (
  ⑤ 임원추천위원회는 이사장후보자가 이사회 의결을 거쳐 과학기술정보통신부장관이 임명하거나 감사후보자가 이사회의 선임을 거쳐 과학기술정보통신부장관의 승인을 받을 때까지 한시적으로 운영한다. (
  ⑥ 제18조제1항 및 제21조제2항에 따라 임원이 연임하는 경우에는 위원회의 추천을 거치지 아니한다.","1. 임원추천위원회의 구성원은 어떻게 결정되나요?

",,
,,,"제20조(임원추천위원회 구성 및 운영) ① 임원(이사장 및 감사)후보자를 추천하기 위하여 임원추천위원회를 구성한다. (② 임원추천위원회 위원 정수는 5명에서 15명 이내의 범위에서 이사회 의결로 정한다. 다만, 위원회 구성 당시 비상임이사가 2명 이하인 경우에는 위원 정수를 2명 또는 3명으로 할 수 있다. (
   1. ( 
   2. 
   3. ( 
  ③ 이사회가 선임하는 위원의 정수는 임원추천위원회 위원 정수의 2분의 1 미만과 3분의 1 이상으로 한다. 다만, 임원추천위원회 구성 당시 비상임이사가 1명인 경우에는 이사회가 선임하는 위원의 정수를 2분의 1로 할 수 있다. (
  ④ 임원추천위원회는 임원후보자를 복수로 이사회에 추천한다. (
  ⑤ 임원추천위원회는 이사장후보자가 이사회 의결을 거쳐 과학기술정보통신부장관이 임명하거나 감사후보자가 이사회의 선임을 거쳐 과학기술정보통신부장관의 승인을 받을 때까지 한시적으로 운영한다. (
  ⑥ 제18조제1항 및 제21조제2항에 따라 임원이 연임하는 경우에는 위원회의 추천을 거치지 아니한다.",2. 임원추천위원회는 어떤 역할을 수행하나요?,,
,,,"제20조(임원추천위원회 구성 및 운영) ① 임원(이사장 및 감사)후보자를 추천하기 위하여 임원추천위원회를 구성한다. (② 임원추천위원회 위원 정수는 5명에서 15명 이내의 범위에서 이사회 의결로 정한다. 다만, 위원회 구성 당시 비상임이사가 2명 이하인 경우에는 위원 정수를 2명 또는 3명으로 할 수 있다. (
   1. ( 
   2. 
   3. ( 
  ③ 이사회가 선임하는 위원의 정수는 임원추천위원회 위원 정수의 2분의 1 미만과 3분의 1 이상으로 한다. 다만, 임원추천위원회 구성 당시 비상임이사가 1명인 경우에는 이사회가 선임하는 위원의 정수를 2분의 1로 할 수 있다. (
  ④ 임원추천위원회는 임원후보자를 복수로 이사회에 추천한다. (
  ⑤ 임원추천위원회는 이사장후보자가 이사회 의결을 거쳐 과학기술정보통신부장관이 임명하거나 감사후보자가 이사회의 선임을 거쳐 과학기술정보통신부장관의 승인을 받을 때까지 한시적으로 운영한다. (
  ⑥ 제18조제1항 및 제21조제2항에 따라 임원이 연임하는 경우에는 위원회의 추천을 거치지 아니한다.",3. 임원이 연임하는 경우에는 어떤 절차를 거치나요?,,
15,15,,"제21조(감사) ① 감사는 임원추천위원회가 복수로 추천하여 이사회에서 선임하되 과학기술정보통신부장관의 승인을 받아야 한다. (
  ② 감사의 임기는 2년으로 하며, 한 차례만 연임할 수 있다. 이 경우 과학기술정보통신부장관은 직무수행실적의 평가결과와 그 밖의 직무수행실적을 고려하여 연임 여부를 결정하며, 연임되는 경우에는 임원추천위원회의 추천을 거치지 아니한다.(
  ③ 임기만료 이외의 사유로 결원이 되었을 때에는 제18조 제2항을 준용한다. 
  (
  ④ 감사는 진흥재단의 회계 및 업무집행을 감사하며 그에 관한 부정 또는 오류를 발견하였을 때에는 지체 없이 이사회에 보고하여야 한다.
  ⑤ 감사는 이사회에 출석하여 의견을 진술할 수 있다.","1. 감사의 선임 과정은 어떻게 이루어지나요?

",,
,,,"제21조(감사) ① 감사는 임원추천위원회가 복수로 추천하여 이사회에서 선임하되 과학기술정보통신부장관의 승인을 받아야 한다. (
  ② 감사의 임기는 2년으로 하며, 한 차례만 연임할 수 있다. 이 경우 과학기술정보통신부장관은 직무수행실적의 평가결과와 그 밖의 직무수행실적을 고려하여 연임 여부를 결정하며, 연임되는 경우에는 임원추천위원회의 추천을 거치지 아니한다.(
  ③ 임기만료 이외의 사유로 결원이 되었을 때에는 제18조 제2항을 준용한다. 
  (
  ④ 감사는 진흥재단의 회계 및 업무집행을 감사하며 그에 관한 부정 또는 오류를 발견하였을 때에는 지체 없이 이사회에 보고하여야 한다.
  ⑤ 감사는 이사회에 출석하여 의견을 진술할 수 있다.",2. 감사의 임기는 어떻게 결정되나요?,,
,,,"제21조(감사) ① 감사는 임원추천위원회가 복수로 추천하여 이사회에서 선임하되 과학기술정보통신부장관의 승인을 받아야 한다. (
  ② 감사의 임기는 2년으로 하며, 한 차례만 연임할 수 있다. 이 경우 과학기술정보통신부장관은 직무수행실적의 평가결과와 그 밖의 직무수행실적을 고려하여 연임 여부를 결정하며, 연임되는 경우에는 임원추천위원회의 추천을 거치지 아니한다.(
  ③ 임기만료 이외의 사유로 결원이 되었을 때에는 제18조 제2항을 준용한다. 
  (
  ④ 감사는 진흥재단의 회계 및 업무집행을 감사하며 그에 관한 부정 또는 오류를 발견하였을 때에는 지체 없이 이사회에 보고하여야 한다.
  ⑤ 감사는 이사회에 출석하여 의견을 진술할 수 있다.",3. 감사가 발견한 부정 또는 오류에 대해 어떻게 대처해야 하나요?,,
16,16,,"제22조(임원의 신분보장) 당연직이사를 제외한 임원은 다음 각 호에 해당하는 경우를 제외하고는 그 임기 중 해임되지 아니한다. (
   1. 법령, 정관 또는 적법한 이사회의 의결에 위반되었을 때
   2. 고의 또는 중대한 과실로 인하여 진흥재단에 중대한 손실을 끼쳤을 때 (
   3. 신체 또는 기타사유로 인하여 그의 직무를 수행할 수 없다고 이사회가 인정하였을 때
   4.「공공기관의 운영에 관한 법률」제35조제3항에 따라 임명권자가 해임한 때 (","1. 임원이 임기 중 해임되지 않는 경우는 어떤 경우인가요?

",,
,,,"제22조(임원의 신분보장) 당연직이사를 제외한 임원은 다음 각 호에 해당하는 경우를 제외하고는 그 임기 중 해임되지 아니한다. (
   1. 법령, 정관 또는 적법한 이사회의 의결에 위반되었을 때
   2. 고의 또는 중대한 과실로 인하여 진흥재단에 중대한 손실을 끼쳤을 때 (
   3. 신체 또는 기타사유로 인하여 그의 직무를 수행할 수 없다고 이사회가 인정하였을 때
   4.「공공기관의 운영에 관한 법률」제35조제3항에 따라 임명권자가 해임한 때 (",2. 임원이 임기 중 해임될 수 있는 4가지 경우에 대해 설명해주세요.,,
,,,"제22조(임원의 신분보장) 당연직이사를 제외한 임원은 다음 각 호에 해당하는 경우를 제외하고는 그 임기 중 해임되지 아니한다. (
   1. 법령, 정관 또는 적법한 이사회의 의결에 위반되었을 때
   2. 고의 또는 중대한 과실로 인하여 진흥재단에 중대한 손실을 끼쳤을 때 (
   3. 신체 또는 기타사유로 인하여 그의 직무를 수행할 수 없다고 이사회가 인정하였을 때
   4.「공공기관의 운영에 관한 법률」제35조제3항에 따라 임명권자가 해임한 때 (",3. '공공기관의 운영에 관한 법률' 제35조제3항에 따라 임원이 해임될 수 있는 상황에 대해 설명해주세요.,,
17,17,,"제4장  이사회

제23조(이사회의 구성) ① 진흥재단의 중요사항을 의결하기 위하여 진흥재단에 이사회를 둔다. (
  ② 이사회는 이사장을 포함한 15인 이내의 이사로 구성된다.

제24조(이사회 의결 및 보고사항) ① 이사회는 다음사항을 의결한다. (
   1. 기구 및 직원의 정원에 관한 사항
   2. 지원시설, 부설기관, 분사무소, 해외사무소 등의 설치에 관한 사항
   3. 매회계년도 사업계획 및 예산의 승인에 관한 사항
   4. 전년도의 결산승인에 관한 사항
   5. 임원의 선임 및 해임에 관한 사항
   6. 기본재산 또는 중요재산의 취득․관리 및 처분에 관한 사항
   7. 차입금에 관한 사항
   8. 채권의 발행에 관한 사항
   9. 출자 및 출연에 관한 사항
   10. 정관의 변경에 관한 사항
   11. 중요한 규정의 제정 및 변경에 관한 사항
   12. 기타 법령 또는 정관으로 이사회의 의결을 요하는 사항
   13. 전 각호 이외의 사항으로 이사회가 필요하다고 인정하는 사항
  ② 이사장은 다음 각 호의 사항을 이사회에 보고하여야 한다. (
   1. 국정감사, 회계감사 및 감사원 감사에서 지적된 사항과 그에 대한 조치 계획 및 실적
   2. 단체협약을 체결한 경우 그 결과와 그에 따른 예산 소요 추계
   3. 그 밖에 이사회가 기관장에게 보고하도록 요구하는 사항","1. 진흥재단의 이사회는 어떤 사항들을 의결하나요?
",,
,,,"제4장  이사회

제23조(이사회의 구성) ① 진흥재단의 중요사항을 의결하기 위하여 진흥재단에 이사회를 둔다. (
  ② 이사회는 이사장을 포함한 15인 이내의 이사로 구성된다.

제24조(이사회 의결 및 보고사항) ① 이사회는 다음사항을 의결한다. (
   1. 기구 및 직원의 정원에 관한 사항
   2. 지원시설, 부설기관, 분사무소, 해외사무소 등의 설치에 관한 사항
   3. 매회계년도 사업계획 및 예산의 승인에 관한 사항
   4. 전년도의 결산승인에 관한 사항
   5. 임원의 선임 및 해임에 관한 사항
   6. 기본재산 또는 중요재산의 취득․관리 및 처분에 관한 사항
   7. 차입금에 관한 사항
   8. 채권의 발행에 관한 사항
   9. 출자 및 출연에 관한 사항
   10. 정관의 변경에 관한 사항
   11. 중요한 규정의 제정 및 변경에 관한 사항
   12. 기타 법령 또는 정관으로 이사회의 의결을 요하는 사항
   13. 전 각호 이외의 사항으로 이사회가 필요하다고 인정하는 사항
  ② 이사장은 다음 각 호의 사항을 이사회에 보고하여야 한다. (
   1. 국정감사, 회계감사 및 감사원 감사에서 지적된 사항과 그에 대한 조치 계획 및 실적
   2. 단체협약을 체결한 경우 그 결과와 그에 따른 예산 소요 추계
   3. 그 밖에 이사회가 기관장에게 보고하도록 요구하는 사항",2. 이사회의 구성원은 몇 명인가요?,,
,,,"제4장  이사회

제23조(이사회의 구성) ① 진흥재단의 중요사항을 의결하기 위하여 진흥재단에 이사회를 둔다. (
  ② 이사회는 이사장을 포함한 15인 이내의 이사로 구성된다.

제24조(이사회 의결 및 보고사항) ① 이사회는 다음사항을 의결한다. (
   1. 기구 및 직원의 정원에 관한 사항
   2. 지원시설, 부설기관, 분사무소, 해외사무소 등의 설치에 관한 사항
   3. 매회계년도 사업계획 및 예산의 승인에 관한 사항
   4. 전년도의 결산승인에 관한 사항
   5. 임원의 선임 및 해임에 관한 사항
   6. 기본재산 또는 중요재산의 취득․관리 및 처분에 관한 사항
   7. 차입금에 관한 사항
   8. 채권의 발행에 관한 사항
   9. 출자 및 출연에 관한 사항
   10. 정관의 변경에 관한 사항
   11. 중요한 규정의 제정 및 변경에 관한 사항
   12. 기타 법령 또는 정관으로 이사회의 의결을 요하는 사항
   13. 전 각호 이외의 사항으로 이사회가 필요하다고 인정하는 사항
  ② 이사장은 다음 각 호의 사항을 이사회에 보고하여야 한다. (
   1. 국정감사, 회계감사 및 감사원 감사에서 지적된 사항과 그에 대한 조치 계획 및 실적
   2. 단체협약을 체결한 경우 그 결과와 그에 따른 예산 소요 추계
   3. 그 밖에 이사회가 기관장에게 보고하도록 요구하는 사항",3. 이사장이 이사회에 보고해야 하는 사항들은 무엇인가요?,,
18,18,,"제25조(이사회의 소집 등) ① 이사회는 정기이사회와 임시이사회로 한다.
  ② 정기이사회는 매년 2월과 12월에 개최하고, 임시이사회는 감사 또는 이사 과반수의 요구가 있거나 이사장이 필요하다고 인정할 경우 소집한다. (
  ③ 이사장은 이사회를 소집하고 그 의장이 된다. (
  ④ 이사장이 이사회를 소집하고자 할 때에는 회의개최 7일전에 회의의 목적과 개최일시 및 장소를 각 이사와 감사에게 통지하여야 한다. 다만, 이사장이 긴급을 요하는 사항이라고 인정한 경우에는 회의개최 전일까지 본 항에 규정한 내용을 통지하고 이사회를 소집할 수 있다.
  ⑤ 이사회의 의결은 법령 또는 정관으로 따로 정한 경우를 제외하고는 재적이사 과반수의 출석으로 개의하고, 출석이사 과반수의 찬성으로 의결한다. 
  ⑥ 당연직이사는 그가 지명한 대리인에게 의결권을 위임할 수 있다.
  ⑦ 이사회 의결사항 중 이사장이 경미하다고 인정하는 사항에 관하여는 서면으로 의결할 수 있다. 이 경우 그 결과를 이사 전원에게 즉시 통지하고, 차기이사회에 그 결과를 보고하여야 한다.","1. 정기이사회와 임시이사회는 어떻게 소집되나요?

",,
,,,"제25조(이사회의 소집 등) ① 이사회는 정기이사회와 임시이사회로 한다.
  ② 정기이사회는 매년 2월과 12월에 개최하고, 임시이사회는 감사 또는 이사 과반수의 요구가 있거나 이사장이 필요하다고 인정할 경우 소집한다. (
  ③ 이사장은 이사회를 소집하고 그 의장이 된다. (
  ④ 이사장이 이사회를 소집하고자 할 때에는 회의개최 7일전에 회의의 목적과 개최일시 및 장소를 각 이사와 감사에게 통지하여야 한다. 다만, 이사장이 긴급을 요하는 사항이라고 인정한 경우에는 회의개최 전일까지 본 항에 규정한 내용을 통지하고 이사회를 소집할 수 있다.
  ⑤ 이사회의 의결은 법령 또는 정관으로 따로 정한 경우를 제외하고는 재적이사 과반수의 출석으로 개의하고, 출석이사 과반수의 찬성으로 의결한다. 
  ⑥ 당연직이사는 그가 지명한 대리인에게 의결권을 위임할 수 있다.
  ⑦ 이사회 의결사항 중 이사장이 경미하다고 인정하는 사항에 관하여는 서면으로 의결할 수 있다. 이 경우 그 결과를 이사 전원에게 즉시 통지하고, 차기이사회에 그 결과를 보고하여야 한다.",2. 이사회를 소집하려면 어떤 절차를 따라야 하나요?,,
,,,"제25조(이사회의 소집 등) ① 이사회는 정기이사회와 임시이사회로 한다.
  ② 정기이사회는 매년 2월과 12월에 개최하고, 임시이사회는 감사 또는 이사 과반수의 요구가 있거나 이사장이 필요하다고 인정할 경우 소집한다. (
  ③ 이사장은 이사회를 소집하고 그 의장이 된다. (
  ④ 이사장이 이사회를 소집하고자 할 때에는 회의개최 7일전에 회의의 목적과 개최일시 및 장소를 각 이사와 감사에게 통지하여야 한다. 다만, 이사장이 긴급을 요하는 사항이라고 인정한 경우에는 회의개최 전일까지 본 항에 규정한 내용을 통지하고 이사회를 소집할 수 있다.
  ⑤ 이사회의 의결은 법령 또는 정관으로 따로 정한 경우를 제외하고는 재적이사 과반수의 출석으로 개의하고, 출석이사 과반수의 찬성으로 의결한다. 
  ⑥ 당연직이사는 그가 지명한 대리인에게 의결권을 위임할 수 있다.
  ⑦ 이사회 의결사항 중 이사장이 경미하다고 인정하는 사항에 관하여는 서면으로 의결할 수 있다. 이 경우 그 결과를 이사 전원에게 즉시 통지하고, 차기이사회에 그 결과를 보고하여야 한다.",3. 이사회의 의결은 어떻게 이루어지나요?,,
19,19,,"제26조(이사회의 간사 등) 이사회의 회무를 처리하기 위하여 간사와 약간인의 서기를 두되, 진흥재단의 직원 중에서 이사장이 임명한다. 이 경우에 이사회 직무에 대한 보수는 따로 지급하지 아니한다. (

제27조(이사회의 의사록) 이사장은 이사회의 의사결과를 기재한 의사록을 작성하여 이사장 및 출석이사 2인 이상이 기명날인하여 보존하여야 하며, 그 사본을 각 이사와 감사에게 배부하여야 한다.

제28조(이사회운영규정) 이사회는 필요하다고 인정할 경우에는 이사회운영규정을 정할 수 있다.","1. 이사회의 회무를 처리하기 위해 누가 간사와 서기를 임명하나요?

",,
,,,"제26조(이사회의 간사 등) 이사회의 회무를 처리하기 위하여 간사와 약간인의 서기를 두되, 진흥재단의 직원 중에서 이사장이 임명한다. 이 경우에 이사회 직무에 대한 보수는 따로 지급하지 아니한다. (

제27조(이사회의 의사록) 이사장은 이사회의 의사결과를 기재한 의사록을 작성하여 이사장 및 출석이사 2인 이상이 기명날인하여 보존하여야 하며, 그 사본을 각 이사와 감사에게 배부하여야 한다.

제28조(이사회운영규정) 이사회는 필요하다고 인정할 경우에는 이사회운영규정을 정할 수 있다.",2. 이사회의 의사록 작성 후 어떤 절차를 거쳐야 하나요?,,
,,,"제26조(이사회의 간사 등) 이사회의 회무를 처리하기 위하여 간사와 약간인의 서기를 두되, 진흥재단의 직원 중에서 이사장이 임명한다. 이 경우에 이사회 직무에 대한 보수는 따로 지급하지 아니한다. (

제27조(이사회의 의사록) 이사장은 이사회의 의사결과를 기재한 의사록을 작성하여 이사장 및 출석이사 2인 이상이 기명날인하여 보존하여야 하며, 그 사본을 각 이사와 감사에게 배부하여야 한다.

제28조(이사회운영규정) 이사회는 필요하다고 인정할 경우에는 이사회운영규정을 정할 수 있다.",3. 이사회운영규정을 정하는 경우는 어떤 경우인가요?,,
20,20,,"제5장  직  원

제29조(직원의 임면) ① 직원은 진흥재단 인사규정에 따라 이사장이 임면한다. 
  (
  ② 이사장은 필요한 경우에는 계약 또는 임시로 직원을 채용할 수 있다.
  ③ 진흥재단의 직제, 정원, 직원의 임면, 승진, 보수, 복무기준, 징계 등 필요한 사항은 따로 규정으로 정한다.

제30조(공무원의 파견요청 등) ① 이사장은 진흥재단의 업무수행을 위하여 관계행정기관에 파견을 요청하고자 하는 경우에는 과학기술정보통신부장관과 미리 협의하여야 한다. (
  ② 진흥재단은 제1항에 따라 협의를 요청하는 경우 파견인원․파견기간․파견요청사유 및 자격요건을 기재한 서류를 과학기술정보통신부장관에게 제출하여야 한다. 
  ( ( 
  ③ 이사장은 진흥재단에 파견된 공무원에게 그 직급에 상응하는 진흥재단의 직위를 부여할 수 있다. (
  ④ 제2항에 의한 공무원은 파견기간 중 이사장의 지휘․감독을 받으며 진흥재단의 정관 및 제 규정을 준수하고 그 직무를 성실히 수행하여야 한다. (","1. 진흥재단의 직원은 어떤 방식으로 임면되나요?

",,
